gender,address,trade_term,recept_balance,age
M,서울시 금천구 시흥1동,3,9658846,22
F,서울시 강북구 삼양동,7,3885329,66
F,서울시 동대문구 휘경2동,9,3070251,44
F,서울시 관악구 대학동,17,527308,25
M,서울시 금천구 신길3동,6,25872319,47
F,서울시 마포구 서교동,2,4332436,51
M,서울시 서대문구 북아현동,9,3070251,54
F,서울시 강남구 압구정동,3,6012616,71
M,서울시 양천구 신정3동,8,5123046,47
M,서울시 강동구 명일1동,10,52290,45
F,서울시 성동구 사근동,15,9066969,34
M,서울시 송파구 잠실2동,1,317036,29
M,서울시 구로구 수궁동,2,23024255,25
M,서울시 은평구 역촌동,7,588961,47
M,서울시 송파구 거여2동,19,7185105,58
M,서울시 은평구 신사1동,15,737178,47
F,서울시 양천구 신정3동,6,266501,63
M,서울시 관악구 삼성동,7,511856,60
F,서울시 중랑구 상봉2동,6,801181,52
M,서울시 중랑구 상봉2동,17,825714,39
M,서울시 동작구 사당3동,13,947226,45
M,서울시 서초구 양재1동,18,425508,24
M,서울시 광진구 화양동,13,906030,39
M,서울시 금천구 시흥5동,15,492838,25
M,서울시 동작구 상도3동,8,5161023,45
F,서울시 강남구 신사동,8,27927,52
F,서울시 은평구 역촌동,16,3539418,48
M,서울시 금천구 당산2동,20,347499,38
F,서울시 성동구 성수2가1동,3,3108148,42
M,서울시 구로구 구로1동,14,7177617,50
M,서울시 관악구 남현동,10,705330,55
F,서울시 양천구 목5동,18,26801032,45
F,서울시 동대문구 제기동,17,4483468,50
F,서울시 광진구 자양3동,8,1937677,58
M,서울시 구로구 구로1동,3,268686,49
F,서울시 송파구 문정1동,1,692350,58
M,서울시 강서구 우장산동,7,4439805,53
M,서울시 서대문구 홍3동,2,909789,39
F,서울시 은평구 갈현1동,4,8621945,50
F,서울시 강서구 화곡3동,6,823884,47
F,서울시 서초구 반포본동,17,416921,56
F,서울시 금천구 신길6동,17,521420,58
M,서울시 중랑구 면목4동,19,3701694,49
M,서울시 중랑구 묵1동,21,393070,26
F,서울시 강북구 미아동,8,28222,56
M,서울시 구로구 구로1동,1,963923,36
F,서울시 양천구 신월2동,17,630474,27
F,서울시 서초구 잠원동,16,876573,37
F,서울시 중랑구 면목5동,5,4582844,38
F,서울시 은평구 진관동,12,249370,53
M,서울시 서초구 잠원동,15,3701694,42
F,서울시 종로구 혜화동,10,5099584,40
M,서울시 송파구 잠실6동,15,1435893,58
M,서울시 용산구 원효로1동,14,356838,33
F,서울시 강남구 수서동,16,2563477,33
F,서울시 동대문구 전농2동,8,78431,49
F,서울시 동작구 상도4동,11,952357,40
F,서울시 관악구 행운동,20,2459237,52
M,서울시 중구 신당5동,7,978837,49
M,서울시 성동구 행당2동,19,307166,24
M,서울시 광진구 자양1동,2,23024255,62
M,서울시 강북구 송중동,14,329148,39
F,서울시 금천구 대림2동,9,648901,44
F,서울시 성동구 마장동,17,904943,45
M,서울시 강남구 도곡2동,9,864374,60
F,서울시 동작구 대방동,6,11992801,53
M,서울시 중랑구 중화1동,8,925875,25
M,서울시 강남구 일원본동,10,875126,66
F,서울시 은평구 대조동,12,7446825,23
M,서울시 강남구 도곡2동,2,24943712,61
F,서울시 서대문구 남가좌1동,5,875623,50
F,서울시 노원구 상계9동,7,275476,41
M,서울시 송파구 마천1동,11,7081673,39
F,서울시 강서구 가양1동,4,545321,33
M,서울시 은평구 신사1동,9,9434886,56
M,서울시 강동구 암사3동,3,46581,64
F,서울시 강서구 방화1동,8,206500,62
