age,address,trade_term,recept_balance,gender
39,서울시 금천구 시흥1동,3,9658846,M
61,서울시 강북구 삼양동,7,3885329,M
53,서울시 동대문구 휘경2동,9,3070251,M
30,서울시 관악구 대학동,17,527308,M
36,서울시 금천구 신길3동,6,25872319,F
47,서울시 마포구 서교동,2,4332436,M
53,서울시 서대문구 북아현동,9,3070251,M
49,서울시 강남구 압구정동,3,6012616,F
50,서울시 양천구 신정3동,8,5123046,F
68,서울시 강동구 명일1동,10,52290,F
60,서울시 성동구 사근동,15,9066969,F
20,서울시 송파구 잠실2동,1,317036,F
60,서울시 구로구 수궁동,2,23024255,M
42,서울시 은평구 역촌동,7,588961,M
54,서울시 송파구 거여2동,19,7185105,F
62,서울시 은평구 신사1동,15,737178,M
23,서울시 양천구 신정3동,6,266501,F
45,서울시 관악구 삼성동,7,511856,M
23,서울시 중랑구 상봉2동,6,801181,F
46,서울시 중랑구 상봉2동,17,825714,F
54,서울시 동작구 사당3동,13,947226,M
58,서울시 서초구 양재1동,18,425508,M
47,서울시 광진구 화양동,13,906030,M
56,서울시 금천구 시흥5동,15,492838,F
47,서울시 동작구 상도3동,8,5161023,F
56,서울시 강남구 신사동,8,27927,M
60,서울시 은평구 역촌동,16,3539418,M
47,서울시 금천구 당산2동,20,347499,M
36,서울시 성동구 성수2가1동,3,3108148,F
45,서울시 구로구 구로1동,14,7177617,M
37,서울시 관악구 남현동,10,705330,F
52,서울시 양천구 목5동,18,26801032,F
46,서울시 동대문구 제기동,17,4483468,M
25,서울시 광진구 자양3동,8,1937677,F
38,서울시 구로구 구로1동,3,268686,F
31,서울시 송파구 문정1동,1,692350,F
45,서울시 강서구 우장산동,7,4439805,F
29,서울시 서대문구 홍3동,2,909789,F
42,서울시 은평구 갈현1동,4,8621945,F
71,서울시 강서구 화곡3동,6,823884,F
50,서울시 서초구 반포본동,17,416921,F
60,서울시 금천구 신길6동,17,521420,F
45,서울시 중랑구 면목4동,19,3701694,F
64,서울시 중랑구 묵1동,21,393070,M
53,서울시 강북구 미아동,8,28222,F
45,서울시 구로구 구로1동,1,963923,M
66,서울시 양천구 신월2동,17,630474,M
69,서울시 서초구 잠원동,16,876573,F
42,서울시 중랑구 면목5동,5,4582844,F
34,서울시 은평구 진관동,12,249370,F
45,서울시 서초구 잠원동,15,3701694,F
69,서울시 종로구 혜화동,10,5099584,M
44,서울시 송파구 잠실6동,15,1435893,F
44,서울시 용산구 원효로1동,14,356838,M
59,서울시 강남구 수서동,16,2563477,M
58,서울시 동대문구 전농2동,8,78431,M
53,서울시 동작구 상도4동,11,952357,F
57,서울시 관악구 행운동,20,2459237,F
59,서울시 중구 신당5동,7,978837,M
29,서울시 성동구 행당2동,19,307166,F
52,서울시 광진구 자양1동,2,23024255,M
30,서울시 강북구 송중동,14,329148,F
53,서울시 금천구 대림2동,9,648901,M
50,서울시 성동구 마장동,17,904943,F
43,서울시 강남구 도곡2동,9,864374,F
36,서울시 동작구 대방동,6,11992801,M
56,서울시 중랑구 중화1동,8,925875,M
62,서울시 강남구 일원본동,10,875126,F
24,서울시 은평구 대조동,12,7446825,M
43,서울시 강남구 도곡2동,2,24943712,F
58,서울시 서대문구 남가좌1동,5,875623,M
43,서울시 노원구 상계9동,7,275476,M
57,서울시 송파구 마천1동,11,7081673,F
46,서울시 강서구 가양1동,4,545321,M
62,서울시 은평구 신사1동,9,9434886,F
57,서울시 강동구 암사3동,3,46581,F
62,서울시 강서구 방화1동,8,206500,M
24,서울시 노원구 공릉2동,17,800159,M
31,서울시 중랑구 묵2동,6,28748062,M
63,서울시 금천구 시흥5동,6,266726,F
29,서울시 종로구 숭인2동,2,789450,F
34,서울시 성북구 동선동,16,25881913,M
20,서울시 노원구 상계1동,1,317036,F
47,서울시 성북구 장위2동,2,5776936,M
51,서울시 동작구 대방동,12,8773841,F
