attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Existing Customer,53,M,3,College,Married,$40K - $60K,Blue,23981.0
Attrited Customer,42,M,4,High School,Married,$60K - $80K,Blue,34516.0
Existing Customer,35,F,1,Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,44,M,3,Unknown,Married,$120K +,Blue,34516.0
Existing Customer,60,F,2,Graduate,Married,Less than $40K,Blue,15987.0
Attrited Customer,40,F,3,Graduate,Single,Less than $40K,Blue,
Attrited Customer,65,F,2,Unknown,Single,Unknown,Blue,
Existing Customer,37,F,2,Uneducated,Single,Less than $40K,Blue,15987.0
Existing Customer,43,M,2,Uneducated,Married,$120K +,Blue,34516.0
Existing Customer,41,F,3,Uneducated,Single,Less than $40K,Blue,15987.0
Existing Customer,34,F,3,Uneducated,Single,$40K - $60K,Blue,23981.0
Attrited Customer,41,M,3,Uneducated,Single,$120K +,Silver,34516.0
Existing Customer,58,F,0,High School,Single,Less than $40K,Blue,15987.0
Existing Customer,53,M,2,Post-Graduate,Single,$80K - $120K,Blue,34516.0
Existing Customer,52,M,3,Graduate,Single,$60K - $80K,Blue,34516.0
Existing Customer,51,M,2,Doctorate,Single,$120K +,Blue,34516.0
Attrited Customer,45,M,5,College,Married,$60K - $80K,Blue,34516.0
Existing Customer,60,F,1,Unknown,Single,$40K - $60K,Blue,23981.0
Existing Customer,38,F,1,Post-Graduate,Single,Unknown,Blue,34516.0
Existing Customer,45,M,4,Graduate,Married,$120K +,Silver,34516.0
Attrited Customer,47,M,4,Graduate,Unknown,$80K - $120K,Blue,34516.0
Existing Customer,52,M,3,Graduate,Married,$80K - $120K,Blue,34516.0
Existing Customer,34,F,3,Unknown,Married,Less than $40K,Blue,15987.0
Attrited Customer,59,F,1,Graduate,Single,Less than $40K,Blue,15109.0
Attrited Customer,47,M,3,Unknown,Married,$60K - $80K,Blue,34516.0
Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,23981.0
Attrited Customer,51,M,4,Unknown,Divorced,$120K +,Blue,34516.0
Existing Customer,48,F,3,College,Divorced,Less than $40K,Blue,15987.0
Existing Customer,48,M,3,High School,Unknown,$40K - $60K,Blue,23981.0
Existing Customer,46,M,3,High School,Single,$60K - $80K,Silver,26218.0
Existing Customer,42,F,3,High School,Married,$40K - $60K,Blue,23981.0
Existing Customer,39,F,1,Graduate,Married,$40K - $60K,Blue,23981.0
Attrited Customer,56,F,1,College,Single,Less than $40K,Blue,15987.0
Existing Customer,49,M,3,College,Single,$60K - $80K,Blue,34516.0
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue,34516.0
Attrited Customer,46,F,1,Graduate,Married,Unknown,Blue,34516.0
Existing Customer,42,F,3,Post-Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,42,F,5,Unknown,Married,Less than $40K,Blue,15987.0
Existing Customer,51,M,3,High School,Single,$60K - $80K,Blue,34516.0
Attrited Customer,56,M,4,Graduate,Single,$80K - $120K,Blue,34516.0
Attrited Customer,44,F,4,Graduate,Married,Less than $40K,Blue,
Existing Customer,44,M,2,High School,Single,$80K - $120K,Blue,34516.0
Existing Customer,48,M,3,College,Divorced,$60K - $80K,Blue,34516.0
Attrited Customer,59,F,1,High School,Single,Less than $40K,Blue,
Existing Customer,45,M,4,Graduate,Unknown,$120K +,Platinum,34516.0
Existing Customer,39,F,2,College,Single,Less than $40K,Silver,10024.0
Existing Customer,43,F,3,College,Single,Less than $40K,Blue,15365.0
Existing Customer,51,M,3,Post-Graduate,Married,$80K - $120K,Silver,34516.0
Existing Customer,50,F,5,Graduate,Single,Less than $40K,Blue,15987.0
Existing Customer,39,M,4,Graduate,Married,$60K - $80K,Blue,34516.0
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,49,F,1,Graduate,Married,Less than $40K,Blue,15987.0
Attrited Customer,43,F,4,Uneducated,Single,Less than $40K,Blue,15109.0
Existing Customer,45,M,4,Uneducated,Single,$120K +,Platinum,34516.0
Existing Customer,43,M,4,College,Married,$60K - $80K,Blue,34516.0
Existing Customer,52,M,2,High School,Married,$80K - $120K,Blue,34516.0
Existing Customer,37,M,3,High School,Single,$80K - $120K,Blue,34516.0
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,34516.0
Existing Customer,49,F,5,Graduate,Married,Unknown,Blue,34516.0
Existing Customer,40,F,2,Graduate,Married,Less than $40K,Blue,15016.0
Existing Customer,46,M,4,Graduate,Single,$80K - $120K,Blue,34516.0
Existing Customer,38,M,2,Unknown,Married,Less than $40K,Blue,15987.0
Existing Customer,52,M,3,Unknown,Married,$80K - $120K,Blue,34516.0
Existing Customer,45,F,3,Doctorate,Single,$40K - $60K,Blue,23981.0
Existing Customer,45,F,5,Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,15704.0
Existing Customer,49,F,1,College,Married,Less than $40K,Blue,15987.0
Existing Customer,55,F,2,High School,Married,$40K - $60K,Blue,23981.0
Existing Customer,59,F,1,Graduate,Unknown,$40K - $60K,Blue,23981.0
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,15433.0
Existing Customer,49,M,3,High School,Single,$60K - $80K,Blue,6224.0
Existing Customer,41,F,3,Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,58,M,3,High School,Single,$80K - $120K,Blue,34516.0
Existing Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,34516.0
Existing Customer,53,F,0,High School,Single,Less than $40K,Blue,15987.0
Existing Customer,41,F,3,High School,Married,Less than $40K,Blue,15987.0
Existing Customer,27,F,1,Graduate,Single,Less than $40K,Blue,15016.0
Existing Customer,47,M,3,Graduate,Single,$80K - $120K,Blue,34516.0
Attrited Customer,60,M,1,Uneducated,Married,Less than $40K,Silver,11059.0
Existing Customer,47,M,1,High School,Married,$60K - $80K,Blue,34516.0
Existing Customer,34,M,1,Uneducated,Married,$60K - $80K,Blue,34516.0
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,34516.0
Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,15987.0
Existing Customer,49,M,4,College,Married,$80K - $120K,Blue,34516.0
Existing Customer,47,M,1,Graduate,Married,$60K - $80K,Blue,34516.0
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,34516.0
Existing Customer,37,M,3,Graduate,Married,$40K - $60K,Blue,3735.0
Attrited Customer,39,F,3,Graduate,Married,Less than $40K,Blue,15109.0
Existing Customer,57,M,3,Graduate,Single,$120K +,Blue,34516.0
Existing Customer,47,M,3,Doctorate,Single,$120K +,Blue,34516.0
Existing Customer,38,F,3,College,Married,Less than $40K,Blue,15987.0
Existing Customer,39,M,3,High School,Single,$60K - $80K,Blue,34516.0
Existing Customer,37,M,3,Unknown,Single,$80K - $120K,Blue,34516.0
Existing Customer,50,M,2,High School,Married,$120K +,Silver,34516.0
Existing Customer,56,M,1,Unknown,Married,$60K - $80K,Blue,34516.0
Existing Customer,35,M,3,College,Single,Less than $40K,Silver,12222.0
Existing Customer,46,F,0,High School,Single,Less than $40K,Blue,15569.0
Existing Customer,40,F,3,College,Married,Unknown,Blue,34516.0
Existing Customer,36,F,4,College,Married,Unknown,Blue,0.0
Existing Customer,51,M,4,Uneducated,Divorced,$60K - $80K,Blue,34516.0
Existing Customer,43,M,5,Graduate,Single,$120K +,Blue,34516.0
Existing Customer,52,F,3,Post-Graduate,Married,Less than $40K,Blue,15987.0
Existing Customer,46,M,4,College,Single,$40K - $60K,Silver,15977.0
Existing Customer,46,M,2,High School,Married,$80K - $120K,Blue,34516.0
Attrited Customer,45,F,2,High School,Single,Unknown,Blue,34516.0
Existing Customer,34,F,1,College,Single,Less than $40K,Blue,15987.0
Existing Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,34516.0
Existing Customer,54,F,2,Graduate,Married,Unknown,Blue,34516.0
Existing Customer,57,F,2,Uneducated,Unknown,Less than $40K,Silver,14521.0
Attrited Customer,48,F,3,Doctorate,Single,Less than $40K,Blue,15109.0
Existing Customer,52,F,3,Unknown,Single,Less than $40K,Blue,15987.0
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,34516.0
Existing Customer,49,F,4,Unknown,Single,Less than $40K,Blue,15987.0
Existing Customer,56,F,4,Uneducated,Married,Unknown,Blue,34516.0
Existing Customer,55,M,1,High School,Married,$80K - $120K,Blue,34516.0
Existing Customer,51,M,4,Graduate,Married,$40K - $60K,Silver,15472.0
