attrition_flag,dependent_count,marital_status,income_category,card_category,credit_limit_NaN,credit_limit,education_level
Existing Customer,3,Married,$60K - $80K,Blue,0,12691.0,Unknown
Existing Customer,5,Single,Less than $40K,Blue,0,8256.0,Post-Graduate
Existing Customer,3,Married,$80K - $120K,Blue,0,3418.0,High School
Existing Customer,4,Unknown,Less than $40K,Blue,0,3313.0,Unknown
Existing Customer,3,Married,$60K - $80K,Blue,0,4716.0,Uneducated
Existing Customer,2,Married,$40K - $60K,Blue,0,4010.0,Graduate
Existing Customer,4,Married,$120K +,Gold,0,34516.0,High School
Existing Customer,0,Unknown,$60K - $80K,Silver,0,29081.0,Graduate
Existing Customer,3,Single,$60K - $80K,Blue,0,22352.0,Uneducated
Existing Customer,2,Single,$80K - $120K,Blue,0,11656.0,Unknown
Existing Customer,5,Unknown,$120K +,Blue,0,6748.0,Uneducated
Existing Customer,1,Married,$40K - $60K,Blue,0,9095.0,Unknown
Existing Customer,1,Single,$80K - $120K,Blue,0,11751.0,College
Existing Customer,3,Unknown,$60K - $80K,Blue,0,8547.0,High School
Existing Customer,2,Married,Less than $40K,Blue,0,2436.0,Graduate
Existing Customer,4,Unknown,$80K - $120K,Blue,0,4234.0,High School
Existing Customer,4,Single,$80K - $120K,Blue,0,30367.0,Uneducated
Existing Customer,3,Married,$80K - $120K,Blue,0,13535.0,Unknown
Existing Customer,1,Married,$40K - $60K,Blue,0,3193.0,College
Existing Customer,2,Married,Unknown,Blue,0,14470.0,Uneducated
Existing Customer,1,Divorced,$60K - $80K,Blue,0,20979.0,High School
Attrited Customer,0,Married,Less than $40K,Blue,0,1438.3,Graduate
Existing Customer,3,Married,$40K - $60K,Blue,0,4470.0,College
Existing Customer,4,Single,Less than $40K,Blue,0,2492.0,Unknown
Existing Customer,2,Married,$80K - $120K,Blue,0,12217.0,Unknown
Existing Customer,3,Single,Less than $40K,Blue,0,7768.0,Uneducated
Existing Customer,1,Unknown,$40K - $60K,Blue,0,14784.0,College
Existing Customer,1,Married,$60K - $80K,Blue,0,10215.0,Unknown
Existing Customer,3,Single,Unknown,Blue,0,10100.0,Graduate
Existing Customer,4,Married,$40K - $60K,Blue,0,4785.0,Graduate
Existing Customer,3,Married,$80K - $120K,Blue,0,2753.0,Unknown
Existing Customer,2,Married,$60K - $80K,Blue,0,2451.0,Doctorate
Existing Customer,4,Married,$60K - $80K,Blue,0,8923.0,Doctorate
Existing Customer,2,Married,Less than $40K,Blue,0,2650.0,Post-Graduate
Existing Customer,0,Married,$80K - $120K,Blue,0,12555.0,High School
Existing Customer,1,Single,Less than $40K,Blue,0,3520.0,Graduate
Existing Customer,3,Married,Less than $40K,Blue,0,3035.0,Graduate
Existing Customer,4,Married,Less than $40K,Gold,0,15433.0,High School
Existing Customer,1,Unknown,$40K - $60K,Blue,0,3672.0,High School
Attrited Customer,0,Married,Unknown,Blue,0,7882.0,College
Existing Customer,3,Single,$80K - $120K,Blue,0,32426.0,Unknown
Existing Customer,2,Married,$40K - $60K,Blue,0,6205.0,High School
Existing Customer,1,Single,$40K - $60K,Silver,0,17304.0,Unknown
Existing Customer,3,Married,$60K - $80K,Blue,0,3906.0,Uneducated
Existing Customer,4,Single,Unknown,Blue,0,9830.0,College
Existing Customer,4,Single,$80K - $120K,Blue,0,34516.0,Graduate
Existing Customer,2,Married,$60K - $80K,Blue,0,2283.0,Uneducated
Existing Customer,1,Married,$40K - $60K,Blue,0,2548.0,College
Existing Customer,3,Married,$80K - $120K,Blue,0,19458.0,Post-Graduate
Existing Customer,1,Single,$80K - $120K,Blue,0,4745.0,Uneducated
Existing Customer,3,Married,Less than $40K,Blue,0,2622.0,Graduate
Attrited Customer,1,Married,Less than $40K,Blue,0,1438.3,Unknown
Existing Customer,0,Married,Less than $40K,Blue,0,3171.0,Uneducated
Existing Customer,2,Married,$120K +,Blue,0,19763.0,Graduate
Attrited Customer,2,Married,$120K +,Blue,0,15769.0,High School
Existing Customer,4,Unknown,Less than $40K,Blue,0,3298.0,Unknown
Existing Customer,3,Single,Less than $40K,Blue,0,2802.0,College
Existing Customer,2,Married,$40K - $60K,Blue,0,4458.0,Doctorate
Existing Customer,5,Married,Unknown,Blue,0,6273.0,Unknown
Existing Customer,2,Single,$60K - $80K,Blue,0,3336.0,Graduate
Existing Customer,3,Married,$80K - $120K,Blue,0,3436.0,College
Attrited Customer,2,Married,$60K - $80K,Silver,0,34516.0,Unknown
Existing Customer,1,Divorced,$60K - $80K,Blue,0,5926.0,High School
Existing Customer,4,Single,$120K +,Blue,0,23957.0,High School
Existing Customer,2,Single,$120K +,Blue,0,14734.0,High School
Existing Customer,4,Single,$80K - $120K,Silver,0,34516.0,Unknown
Existing Customer,2,Married,$60K - $80K,Blue,0,6584.0,College
Existing Customer,2,Single,Less than $40K,Blue,0,2084.0,Doctorate
Existing Customer,2,Married,$60K - $80K,Blue,0,1687.0,Graduate
Existing Customer,2,Married,$80K - $120K,Blue,0,25300.0,Doctorate
Existing Customer,4,Single,$120K +,Blue,0,34516.0,High School
Existing Customer,2,Married,Less than $40K,Blue,0,2216.0,College
Existing Customer,1,Unknown,$60K - $80K,Blue,0,2910.0,Graduate
Existing Customer,5,Married,$80K - $120K,Blue,0,22913.0,Post-Graduate
Existing Customer,1,Single,$60K - $80K,Blue,0,24312.0,High School
Existing Customer,2,Single,$80K - $120K,Blue,0,5272.0,Doctorate
Existing Customer,4,Single,Less than $40K,Blue,0,7000.0,High School
Existing Customer,3,Single,Less than $40K,Blue,0,7038.0,Uneducated
Existing Customer,3,Divorced,$60K - $80K,Blue,0,2536.0,College
Existing Customer,2,Married,$80K - $120K,Blue,0,28904.0,Graduate
Existing Customer,3,Married,$60K - $80K,Blue,0,8567.0,Uneducated
Existing Customer,1,Unknown,$120K +,Blue,0,34516.0,Uneducated
Attrited Customer,4,Married,$40K - $60K,Blue,0,2158.0,Unknown
Existing Customer,1,Married,Unknown,Blue,0,10133.0,Uneducated
Existing Customer,1,Divorced,$80K - $120K,Blue,0,34516.0,Graduate
Existing Customer,2,Married,$60K - $80K,Blue,0,3085.0,High School
Existing Customer,2,Single,$120K +,Blue,0,19040.0,Graduate
Existing Customer,3,Single,Less than $40K,Blue,0,4026.0,Graduate
Existing Customer,3,Single,$60K - $80K,Blue,0,12756.0,Unknown
Existing Customer,2,Married,$120K +,Blue,0,5266.0,Graduate
Existing Customer,2,Single,Less than $40K,Blue,0,9930.0,Unknown
Existing Customer,4,Single,$80K - $120K,Blue,0,31302.0,Graduate
Existing Customer,1,Single,$40K - $60K,Blue,0,6576.0,Doctorate
Existing Customer,0,Single,$80K - $120K,Blue,0,2664.0,Doctorate
Existing Customer,3,Married,Unknown,Blue,0,2535.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,1709.0,High School
Existing Customer,3,Married,$40K - $60K,Blue,0,3454.0,Graduate
Existing Customer,3,Married,$40K - $60K,Blue,0,3789.0,High School
Existing Customer,3,Married,$120K +,Blue,0,9689.0,Doctorate
Attrited Customer,2,Married,$80K - $120K,Blue,0,5449.0,College
Existing Customer,3,Single,Unknown,Blue,0,23032.0,College
Existing Customer,3,Married,Unknown,Silver,0,34516.0,Post-Graduate
Existing Customer,3,Married,$120K +,Blue,0,2940.0,Unknown
Existing Customer,2,Single,Less than $40K,Blue,0,3031.0,Uneducated
Existing Customer,3,Unknown,$60K - $80K,Blue,0,1862.0,Graduate
Existing Customer,4,Married,Less than $40K,Blue,0,8358.0,Uneducated
Existing Customer,2,Single,$120K +,Blue,0,34516.0,Unknown
Existing Customer,1,Married,$60K - $80K,Blue,0,14450.0,College
Existing Customer,1,Married,Less than $40K,Blue,0,1438.3,High School
Existing Customer,4,Divorced,$120K +,Blue,0,33791.0,Post-Graduate
Existing Customer,4,Married,$60K - $80K,Blue,0,8466.0,College
Existing Customer,3,Married,$60K - $80K,Blue,0,15088.0,Uneducated
Existing Customer,4,Divorced,$60K - $80K,Blue,0,3263.0,Uneducated
Existing Customer,0,Married,Less than $40K,Blue,0,1494.0,Graduate
Existing Customer,3,Single,$80K - $120K,Blue,0,13551.0,Graduate
Existing Customer,1,Single,$80K - $120K,Blue,0,18886.0,College
Existing Customer,3,Unknown,$80K - $120K,Blue,0,11976.0,High School
Existing Customer,3,Single,$80K - $120K,Blue,0,9964.0,Graduate
Existing Customer,1,Married,$60K - $80K,Blue,0,24159.0,Graduate
Existing Customer,2,Married,Less than $40K,Blue,0,5362.0,Graduate
Existing Customer,2,Single,$120K +,Blue,0,34516.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,3174.0,Graduate
Existing Customer,1,Married,$80K - $120K,Blue,0,12262.0,Graduate
Existing Customer,3,Single,$40K - $60K,Blue,0,3788.0,Uneducated
Existing Customer,2,Single,$120K +,Silver,0,34516.0,College
Existing Customer,3,Single,$60K - $80K,Blue,0,2926.0,Post-Graduate
Existing Customer,4,Single,$120K +,Blue,0,32090.0,Post-Graduate
Attrited Customer,2,Married,$80K - $120K,Blue,0,11669.0,Graduate
Existing Customer,2,Single,$40K - $60K,Blue,0,13532.0,Graduate
Existing Customer,1,Unknown,Less than $40K,Silver,0,11888.0,Graduate
Existing Customer,1,Married,Less than $40K,Blue,0,2393.0,Uneducated
Existing Customer,4,Married,$40K - $60K,Blue,0,6111.0,College
Existing Customer,4,Married,$80K - $120K,Blue,0,19270.0,Graduate
Existing Customer,1,Married,$80K - $120K,Blue,0,3710.0,Doctorate
Existing Customer,2,Single,Less than $40K,Blue,0,3235.0,Uneducated
Existing Customer,3,Single,$40K - $60K,Blue,0,11749.0,Uneducated
Existing Customer,2,Divorced,$60K - $80K,Blue,0,7753.0,Graduate
Existing Customer,4,Divorced,$60K - $80K,Blue,0,10408.0,Graduate
Existing Customer,1,Married,Unknown,Blue,0,3967.0,Uneducated
Existing Customer,2,Single,Less than $40K,Blue,0,6205.0,Unknown
Attrited Customer,5,Married,Less than $40K,Blue,0,8025.0,Uneducated
Existing Customer,1,Single,$120K +,Blue,0,9036.0,High School
Existing Customer,4,Married,$80K - $120K,Blue,0,14926.0,Graduate
Existing Customer,1,Single,Less than $40K,Blue,0,6335.0,High School
Attrited Customer,1,Single,$60K - $80K,Blue,0,14979.0,Doctorate
Attrited Customer,4,Married,Less than $40K,Blue,0,2732.0,Uneducated
Existing Customer,2,Single,Less than $40K,Blue,0,2250.0,College
Existing Customer,2,Married,$120K +,Blue,0,10916.0,High School
Existing Customer,4,Married,Unknown,Blue,0,5349.0,Uneducated
