attrition_flag,customer_age,gender,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
Attrited Customer,53,F,0,Graduate,Married,Less than $40K,Blue,3173.0
Existing Customer,38,F,0,Unknown,Married,$40K - $60K,Blue,2062.0
Existing Customer,40,F,4,College,Married,Less than $40K,Blue,2925.0
Existing Customer,45,F,3,Unknown,Divorced,Less than $40K,Blue,8121.0
Existing Customer,47,F,1,Uneducated,Married,Unknown,Blue,8103.0
Existing Customer,55,M,2,Unknown,Divorced,$60K - $80K,Blue,24589.0
Existing Customer,43,F,3,Unknown,Single,$40K - $60K,Blue,1531.0
Existing Customer,42,F,3,Graduate,Single,Less than $40K,Blue,3659.0
Existing Customer,49,F,4,Graduate,Married,Less than $40K,Blue,7037.0
Attrited Customer,35,F,3,Graduate,Married,$40K - $60K,Blue,2013.0
Existing Customer,35,F,3,Unknown,Single,Unknown,Blue,3926.0
Existing Customer,47,F,3,High School,Single,Unknown,Blue,1986.0
Existing Customer,38,F,0,Unknown,Single,$40K - $60K,Blue,1438.3
Existing Customer,54,M,0,Graduate,Married,$120K +,Blue,11023.0
Existing Customer,52,F,2,Graduate,Married,Less than $40K,Blue,8203.0
Existing Customer,31,F,2,College,Single,Less than $40K,Blue,4868.0
Existing Customer,54,M,3,Graduate,Married,$60K - $80K,Blue,19063.0
Existing Customer,33,M,1,Unknown,Single,$60K - $80K,Blue,3322.0
Existing Customer,48,F,5,Unknown,Married,Less than $40K,Blue,2340.0
Attrited Customer,46,F,1,Post-Graduate,Married,Less than $40K,Blue,8924.0
Existing Customer,34,M,2,Unknown,Married,$60K - $80K,Blue,4469.0
Existing Customer,40,M,5,Uneducated,Single,$60K - $80K,Blue,2742.0
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,2705.0
Attrited Customer,62,F,1,Unknown,Single,Less than $40K,Blue,3214.0
Existing Customer,42,F,3,Graduate,Unknown,$40K - $60K,Blue,2723.0
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,1815.0
Existing Customer,40,M,1,Unknown,Single,$60K - $80K,Blue,6053.0
Existing Customer,39,F,1,Unknown,Married,$40K - $60K,Blue,11135.0
Attrited Customer,50,M,1,Post-Graduate,Unknown,$60K - $80K,Blue,24589.0
Existing Customer,57,F,0,College,Married,Less than $40K,Blue,4945.0
Existing Customer,54,F,1,Unknown,Single,Less than $40K,Blue,2370.0
Existing Customer,44,M,4,College,Single,Less than $40K,Blue,1950.0
