,attrition_flag,dependent_count,education_level,marital_status,income_category,card_category,credit_limit
0,Existing Customer,3,High School,Married,$60K - $80K,Blue,12691.0
1,Existing Customer,5,Graduate,Single,Less than $40K,Blue,8256.0
2,Existing Customer,3,Graduate,Married,$80K - $120K,Blue,3418.0
3,Existing Customer,4,High School,Unknown,Less than $40K,Blue,3313.0
4,Existing Customer,3,Uneducated,Married,$60K - $80K,Blue,4716.0
5,Existing Customer,2,Graduate,Married,$40K - $60K,Blue,4010.0
6,Existing Customer,4,Unknown,Married,$120K +,Gold,34516.0
7,Existing Customer,0,High School,Unknown,$60K - $80K,Silver,29081.0
8,Existing Customer,3,Uneducated,Single,$60K - $80K,Blue,22352.0
9,Existing Customer,2,Graduate,Single,$80K - $120K,Blue,11656.0
10,Existing Customer,5,Uneducated,Unknown,$120K +,Blue,6748.0
11,Existing Customer,1,Unknown,Married,$40K - $60K,Blue,9095.0
12,Existing Customer,1,College,Single,$80K - $120K,Blue,11751.0
13,Existing Customer,3,Graduate,Unknown,$60K - $80K,Blue,8547.0
14,Existing Customer,2,Graduate,Married,Less than $40K,Blue,2436.0
15,Existing Customer,4,Unknown,Unknown,$80K - $120K,Blue,4234.0
16,Existing Customer,4,Post-Graduate,Single,$80K - $120K,Blue,30367.0
17,Existing Customer,3,Unknown,Married,$80K - $120K,Blue,13535.0
18,Existing Customer,1,High School,Married,$40K - $60K,Blue,3193.0
19,Existing Customer,2,Graduate,Married,Unknown,Blue,14470.0
20,Existing Customer,1,Doctorate,Divorced,$60K - $80K,Blue,20979.0
21,Attrited Customer,0,Graduate,Married,Less than $40K,Blue,1438.3
22,Existing Customer,3,High School,Married,$40K - $60K,Blue,4470.0
23,Existing Customer,4,Unknown,Single,Less than $40K,Blue,2492.0
24,Existing Customer,2,Unknown,Married,$80K - $120K,Blue,12217.0
25,Existing Customer,3,Graduate,Single,Less than $40K,Blue,7768.0
26,Existing Customer,1,High School,Unknown,$40K - $60K,Blue,14784.0
27,Existing Customer,1,Unknown,Married,$60K - $80K,Blue,10215.0
28,Existing Customer,3,Uneducated,Single,Unknown,Blue,10100.0
29,Existing Customer,4,High School,Married,$40K - $60K,Blue,4785.0
30,Existing Customer,3,Unknown,Married,$80K - $120K,Blue,2753.0
31,Existing Customer,2,Uneducated,Married,$60K - $80K,Blue,2451.0
32,Existing Customer,4,Graduate,Married,$60K - $80K,Blue,8923.0
33,Existing Customer,2,College,Married,Less than $40K,Blue,2650.0
34,Existing Customer,0,Graduate,Married,$80K - $120K,Blue,12555.0
35,Existing Customer,1,College,Single,Less than $40K,Blue,3520.0
36,Existing Customer,3,Graduate,Married,Less than $40K,Blue,3035.0
37,Existing Customer,4,High School,Married,Less than $40K,Gold,15433.0
38,Existing Customer,1,Graduate,Unknown,$40K - $60K,Blue,3672.0
39,Attrited Customer,0,Doctorate,Married,Unknown,Blue,7882.0
40,Existing Customer,3,Graduate,Single,$80K - $120K,Blue,32426.0
41,Existing Customer,2,Unknown,Married,$40K - $60K,Blue,6205.0
42,Existing Customer,1,College,Single,$40K - $60K,Silver,17304.0
43,Existing Customer,3,High School,Married,$60K - $80K,Blue,3906.0
44,Existing Customer,4,Graduate,Single,Unknown,Blue,9830.0
45,Existing Customer,4,Uneducated,Single,$80K - $120K,Blue,34516.0
46,Existing Customer,2,Doctorate,Married,$60K - $80K,Blue,2283.0
47,Existing Customer,1,Doctorate,Married,$40K - $60K,Blue,2548.0
48,Existing Customer,3,High School,Married,$80K - $120K,Blue,19458.0
49,Existing Customer,1,College,Single,$80K - $120K,Blue,4745.0
50,Existing Customer,3,Unknown,Married,Less than $40K,Blue,2622.0
51,Attrited Customer,1,Graduate,Married,Less than $40K,Blue,1438.3
52,Existing Customer,0,High School,Married,Less than $40K,Blue,3171.0
53,Existing Customer,2,Unknown,Married,$120K +,Blue,19763.0
54,Attrited Customer,2,Graduate,Married,$120K +,Blue,15769.0
55,Existing Customer,4,Graduate,Unknown,Less than $40K,Blue,3298.0
56,Existing Customer,3,Graduate,Single,Less than $40K,Blue,2802.0
57,Existing Customer,2,Uneducated,Married,$40K - $60K,Blue,4458.0
58,Existing Customer,5,Graduate,Married,Unknown,Blue,6273.0
59,Existing Customer,2,High School,Single,$60K - $80K,Blue,3336.0
60,Existing Customer,3,Unknown,Married,$80K - $120K,Blue,3436.0
61,Attrited Customer,2,Graduate,Married,$60K - $80K,Silver,34516.0
62,Existing Customer,1,High School,Divorced,$60K - $80K,Blue,5926.0
63,Existing Customer,4,Post-Graduate,Single,$120K +,Blue,23957.0
64,Existing Customer,2,High School,Single,$120K +,Blue,14734.0
65,Existing Customer,4,Uneducated,Single,$80K - $120K,Silver,34516.0
66,Existing Customer,2,College,Married,$60K - $80K,Blue,6584.0
67,Existing Customer,2,Uneducated,Single,Less than $40K,Blue,2084.0
68,Existing Customer,2,Graduate,Married,$60K - $80K,Blue,1687.0
69,Existing Customer,2,Doctorate,Married,$80K - $120K,Blue,25300.0
70,Existing Customer,4,Graduate,Single,$120K +,Blue,34516.0
71,Existing Customer,2,Graduate,Married,Less than $40K,Blue,2216.0
72,Existing Customer,1,Graduate,Unknown,$60K - $80K,Blue,2910.0
73,Existing Customer,5,Uneducated,Married,$80K - $120K,Blue,22913.0
74,Existing Customer,1,College,Single,$60K - $80K,Blue,24312.0
